Root,Path,Title,Name,Type,Status,Publication Date,Size (KB),application/gzip,application/json,application/msaccess,application/msword,application/octet-stream,application/pdf,application/vnd.google-earth.kml+xml,application/vnd.google-earth.kmz,application/vnd.ms-excel,application/vnd.ms-excel.sheet.macroenabled.12,application/vnd.ms-powerpoint,application/vnd.oasis.opendocument.spreadsheet,application/vnd.openxmlformats-officedocument.presentationml.presentation,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,application/vnd.openxmlformats-officedocument.wordprocessingml.document,application/x-bibtex,application/x-director,application/x-download,application/x-font-bdf,application/x-gzip,application/x-netcdf,application/x-rar-compressed,application/x-rlang-transport,application/x-sas-system,application/x-spss-sav,application/x-spss-sps,application/x-spss-syntax,application/x-stata,application/x-tar,application/x-xfig,application/zip,application/zipped-shapefile,audio/aac,audio/mp3,audio/mp4,audio/mpeg,audio/wav,audio/x-aiff,audio/x-m4a,audio/x-wave,image/bmp,image/gif,image/jpeg,image/png,image/tiff,image/vnd.dwg,image/x-portable-graymap,text/comma-separated-values,text/csv,text/html,text/plain,text/plain; charset=US-ASCII,text/plain; charset=UTF-8,text/rtf,text/tab-separated-values,text/x-bibtex,text/x-fixed-field,text/x-fortran,text/x-log,text/xml,text/xml-graphml,text/x-python-script,text/x-sas-syntax; charset=US-ASCII,text/x-spss-syntax,text/x-spss-syntax; charset=US-ASCII,text/x-spss-syntax; charset=UTF-8,text/x-stata-syntax; charset=US-ASCII,type/x-r-syntax,video/3gpp,video/avi,video/mp4,video/quicktime,Totals
Wilfrid Laurier University Dataverse,Wilfrid Laurier University Library Research Data Repository Dataverse,"Official Tall Jawa Archaeological Project, Volume 5",11118,Dataset,RELEASED,2016-08-23 16:17:57.541000,356050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
Wilfrid Laurier University Dataverse,Wilfrid Laurier University Library Research Data Repository Dataverse,Political Apologies and Reparations Archive,11065,Dataset,RELEASED,2016-10-14 01:19:08.448000,820,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
University of Windsor Dataverse,None,"Replication data for: Canadian Members of Parliament, 1997 - 2011",10276,Dataset,RELEASED,2013-01-10 14:27:56.073000,1084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
University of Windsor Dataverse,None,100-year flooding line for Essex Region,10457,Dataset,RELEASED,2013-08-13 15:01:09.168000,2473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
University of Toronto Dataverse,None,Replication data for: Farmed Solitary Bees & Wasps,10079,Dataset,DRAFT,2012-02-28 12:37:10.811000,31166,0,0,0,29,1,6,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
University of Toronto Dataverse,None,Farmed Solitary Bees & Wasps,10076,Dataset,DEACCESSIONED,2012-02-14 10:31:25.198999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
University of Toronto Dataverse,None,Farmed Solitary Bees & Wasps,10074,Dataset,DEACCESSIONED,2012-02-14 10:00:36.709999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
University of Toronto Dataverse,None,Farmed Solitary Bees & Wasps,10075,Dataset,DEACCESSIONED,2012-02-14 10:21:05.594000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
McMaster University Dataverse,McMaster Research Data Repository Dataverse,LibQUAL+ 2010 Survey,10386,Dataset,RELEASED,2013-05-15 15:39:24.795000,489,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
McMaster University Dataverse,McMaster Research Data Repository Dataverse,Sample Research Data,10408,Dataset,DRAFT,2013-06-11 21:00:29.758000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
McMaster University Dataverse,McMaster Research Data Repository Dataverse,LibQUAL+ 2007 Survey,10387,Dataset,RELEASED,2013-05-15 15:38:42.347000,605,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
McMaster University Dataverse,McMaster Research Data Repository Dataverse,LibQUAL+ 2006 Survey,10388,Dataset,RELEASED,2013-05-15 15:38:04.642000,547,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
University of Toronto Dataverse,Silver Data Dataverse,MySpace Genres,11402,Dataset,RELEASED,2016-01-19 14:43:12.782000,142264,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
Western University Dataverse,MIiSR - Data Set Dataverse,"MIiSR: Analysis of Molecular Interactions in Super-Resolution Imaging Enables the Study of Protein Interactions, Dynamics and Formation of Multi-protein Structures",11086,Dataset,RELEASED,2015-08-21 08:26:45.450000,6008694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
